2	sah	sehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	um	um	P	APPR	Acc	2	pp	_	_
4	sich	sie	P	PRF	3|_|Acc	3	pn	_	_
5	.	.	$	$.	_	0	root	_	_

1	In	in	P	APPR	Dat	4	pp	_	_
2	diesem	diese	A	PDAT	Masc|Dat|Sg	3	det	86	86
3	Augenblick	Augenblick	N	NN	Masc|Dat|Sg	1	pn	86	86
4	schien	scheinen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
5	sich	sie	P	PRF	3|_|Dat	4	objd	_	_
6	niemand	niemand	P	PIS	_|Nom|Sg	4	subj	_	_
7	um	um	P	APPR	Acc	10	objp	_	_
8	ihn	er	P	PPER	3|Sg|Masc|Acc	7	pn	3	3
9	zu	zu	P	PTKZU	_	10	part	_	_
10	kümmern	kümmern	V	VVINF	_	4	obji	_	_
11	.	.	$	$.	_	0	root	_	_

1	Vielleicht	vielleicht	A	ADV	_	2	adv	_	_
2	war	sein	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
3	jetzt	jetzt	A	ADV	_	2	adv	_	_
4	noch	noch	A	ADV	_	2	adv	_	_
5	eine	eine	A	ART	Indef|Fem|Nom|Sg	7	det	_	_
6	letzte	letzte	A	ADJA	Pos|Fem|Nom|Sg|_|	7	attr	_	_
7	Möglichkeit	Möglichkeit	N	NN	Fem|Nom|Sg	2	pred	_	_
8	,	,	$	$,	_	0	root	_	_
9	sich	sie	P	PRF	3|_|_	12	obja	_	_
10	ungestraft	ungestraft	A	ADJD	Pos|	12	adv	_	_
11	zu	zu	P	PTKZU	_	12	part	_	_
12	entfernen	entfernen	V	VVINF	_	2	subjc	_	_
13	.	.	$	$.	_	0	root	_	_

1	Was	was	P	PWS	Neut|Nom|Sg	8	subj	_	_
2	ihn	er	P	PPER	3|Sg|Masc|Acc	7	obja	3	3
3	trotzdem	trotzdem	P	PROAV	_	7	pp	_	_
4	in	in	P	APPR	Acc	7	pp	_	_
5	seine	seine	A	PPOSAT	_|Acc|_	6	det	3	3
