1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	76	76
2	Adjunkt	Adjunkt	N	NN	Masc|Nom|Sg	0	root	76	76
3	.	.	$	$.	_	0	root	_	_

1	Seit	seit	P	APPR	Dat	3	pp	_	_
2	Katharina	Katharina	N	NN	Fem|Dat|Sg	1	pn	24	24
3	verschwunden	verschwinden	V	VVPP	_	4	aux	_	_
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	soll	sollen	V	VMFIN	_|Sg|Pres|Ind	3	s	_	_
7	sie	sie	P	PPER	3|_|_|_	11	obja	24	24
8	halbe	halb	A	ADJA	Pos|Masc|_|Pl|St|	9	attr	_	_
9	Tage	Tag	N	NN	Masc|_|Pl	10	grad	_	_
10	dort	dort	A	ADV	_	11	adv	_	_
11	verbringen	verbringen	V	VVINF	_	6	aux	_	_
12	,	,	$	$,	_	0	root	_	_
13	wie	wie	P	PWAV	_	15	adv	_	_
14	ich	ich	P	PPER	1|Sg|_|Nom	15	subj	651	651
15	höre	hören	V	VVFIN	1|Sg|Pres|_	6	subjc	_	_
16	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	103	103
2	Arzt	Arzt	N	NN	Masc|Nom|Sg	0	root	103	103
3	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	betet	beten	V	VVFIN	3|Sg|Pres|Ind	1	cj	_	_
3	wohl	wohl	A	ADV	_	2	adv	_	_
4	zum	zu	P	APPRART	Dat	2	pp	_	_
5	Himmel	Himmel	N	NN	Masc|Dat|Sg	4	pn	837	837
6	um	um	P	APPR	Gen	2	pp	_	_
7	ihrer	ihre	A	PPOSAT	Fem|Gen|Sg	8	det	24	24
8	Tochter	Tochter	N	NN	Fem|Gen|Sg	6	pn	_	_
9	Wiederkehr	Wiederkehr	N	NE	_|Nom|Sg	2	subj	651	651
10	.	.	$	$.	_	0	root	_	_

