25	ich	ich	P	PPER	1|Sg|_|Nom	24	subj	8	8
26	«	«	$	$(	_	0	root	_	_
27	,	,	$	$,	_	0	root	_	_
28	schrie	schreien	V	VVFIN	3|Sg|Past|_	25	par	_	_
29	Münchhausen	Münchhausen	N	NE	Neut|Nom|Sg	28	subj	2	2
30	,	,	$	$,	_	0	root	_	_
31	»	»	$	$(	_	0	root	_	_
32	tatsächlich	tatsächlich	A	ADJD	Pos|	36	adv	_	_
33	ganz	ganz	A	ADV	_	36	adv	_	_
34	und	und	K	KON	_	33	kon	_	_
35	gar	gar	A	ADV	_	34	cj	_	_
36	vergessen	veressen	V	VVPP	_	24	neb	_	_
37	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	8	8
2	werde	werden	V	VAFIN	1|Sg|Pres|_	0	root	_	_
3	mich	ich	P	PRF	1|Sg|Acc	6	obja	_	_
4	gleich	gleich	A	ADJD	Pos|	6	adv	_	_
5	schriftlich	schriftlich	A	ADJD	Pos|	6	adv	_	_
6	entschuldigen	entschuldigen	V	VVINF	_	2	aux	_	_
7	,	,	$	$,	_	0	root	_	_
8	wenn	wenn	K	KOUS	_	13	konj	_	_
9	wir	wir	P	PPER	1|Pl|_|Nom	13	subj	_	_
10	ins	in	P	APPRART	Acc	12	objp	_	_
11	Hotel	Hotel	N	NN	Neut|Acc|Sg	10	pn	422	422
12	gekommen	kommen	V	VVPP	_	13	aux	_	_
13	sind	sein	V	VAFIN	1|Pl|Pres|Ind	2	neb	_	_
14	.	.	$	$.	_	0	root	_	_

1	Fahren	fahren	V	VVFIN	3|Pl|Pres|_	0	root	_	_
2	Sie	sie	P	PPER	3|Pl|_|Nom	1	subj	62	62
3	schneller	schnell	A	ADJD	Comp|	1	adv	_	_
4	,	,	$	$,	_	0	root	_	_
5	Chauffeur	Chauffeur	N	NN	Masc|_|Sg	1	vok	423	423
6	!	!	$	$.	_	0	root	_	_
7	«	«	$	$(	_	0	root	_	_
8	Der	die	P	PDS	Masc|Nom|Sg	9	subj	_	_
9	fuhr	fahren	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
10	nun	nun	A	ADV	_	9	adv	_	_
11	sehr	sehr	A	ADV	_	12	adv	_	_
12	schnell	schnell	A	ADJD	Pos|	9	adv	_	_
13	,	,	$	$,	_	0	root	_	_
14	daß	daß	K	KOUS	_	21	konj	_	_
15	die	die	A	ART	Def|Fem|Nom|Pl	16	det	424	424
16	Wogen	Woge	N	NN	Fem|Nom|Pl	21	subj	424	424
17	des	die	A	ART	Def|Masc|Gen|Sg	19	det	264	264
18	Großen	groß	A	ADJA	Pos|Masc|Gen|Sg|_|	19	attr	264	264
19	Ozeans	Ozean	N	NN	Masc|Gen|Sg	16	gmod	264	264
20	hoch	hoch	A	ADJD	Pos|	21	adv	_	_
21	aufspritzten	aufspritzen	V	VVFIN	3|Pl|Past|_	9	objc	_	_
22	unter	unter	P	APPR	Dat	21	pp	_	_
23	den	die	A	ART	Def|Neut|Dat|Pl	24	det	425	425
24	Gummirädern	Gummirad	N	NN	Neut|Dat|Pl	22	pn	425	425
25	des	die	A	ART	Def|Neut|Gen|Sg	27	det	426	426
26	freiherrlichen	freiherrlich	A	ADJA	Pos|Neut|Gen|Sg|_|	27	attr	426	426
27	Automobils	Automobil	N	NN	Neut|Gen|Sg	24	gmod	425	425
28	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	viele	viele	A	PIDAT	Fem|Nom|Pl	4	det	_	_
3	weiße	weiß	A	ADJA	Pos|Fem|Nom|Pl|St|	4	attr	_	_
4	Möven	Möve	N	NN	Fem|Nom|Pl	5	subj	_	_
5	flogen	fliegen	V	VVFIN	3|Pl|Past|Ind	1	cj	_	_
6	vorüber	vorüber	A	ADV	_	5	adv	_	_
7	.	.	$	$.	_	0	root	_	_

1			F	FM	_	0	root	_	_
2	Hm	Hm	F	FM	_	1	app	_	_
3	!	!	$	$.	_	0	root	_	_
4			F	FM	_|Nom|Sg	5	subj	_	_
5	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
6	William	William	N	NE	Masc|_|Sg	5	obja	31	31
7	,	,	$	$,	_	0	root	_	_
8			N	NE	_	0	root	124	124
9	Du	du	P	PPER	2|Sg|_|Nom	10	subj	_	_
10	wolltest	wollen	V	VMFIN	2|Sg|Past|_	0	root	_	_
11	Dich	Dich	N	NE	_	14	obja	167	167
12	doch	doch	A	ADV	_	14	adv	_	_
13	nicht	nicht	P	PTKNEG	_	14	adv	_	_
14	wiederholen	wiederholen	V	VVINF	_	10	aux	_	_
15	.	.	$	$.	_	0	root	_	_
16			F	FM	_	0	root	_	_

1			K	KON	_	0	root	_	_
2	Das	die	P	PDS	Neut|Nom|Sg	3	subj	_	_
3	fragt	fragen	V	VVFIN	3|Sg|Pres|Ind	1	cj	_	_
4	sich	sie	P	PRF	3|_|_	3	obja	_	_
5	,	,	$	$,	_	0	root	_	_
6	ob	ob	K	KOUS	_	10	konj	_	_
7	hier	hier	A	ADV	_	10	adv	_	_
8	die	die	A	ART	Def|Fem|Nom|Sg	9	det	265	265
9	Seele	Seele	N	NN	Fem|Nom|Sg	10	subj	265	265
10	fehlt	fehlen	V	VVFIN	3|Sg|Pres|Ind	3	objc	_	_
11	!	!	$	$.	_	0	root	_	_
12			N	NE	_	13	obja	55	55
13	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
14	der	die	A	ART	Def|Masc|Nom|Sg	15	det	152	152
15	Nabob	Nabob	N	NN	Masc|Nom|Sg	13	subj	152	152
16	.	.	$	$.	_	0	root	_	_

1	Mein	meine	A	PPOSAT	Masc|Nom|Sg	2	det	267	267
2	Freund	Freund	N	NN	Masc|Nom|Sg	3	subj	_	_
3	ließ	lassen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	jetzt	jetzt	A	ADV	_	3	adv	_	_
5	noch	noch	A	ADV	_	3	adv	_	_
6	eine	eine	A	ART	Indef|Fem|_|Sg	8	det	_	_
7	größere	groß	A	ADJA	Comp|Fem|_|Sg|_|	8	attr	_	_
8	Anzahl	Anzahl	N	NN	Fem|_|Sg	3	obja	_	_
9	von	von	P	APPR	_	8	pp	_	_
10	durchsichtigen	durchsichtig	A	ADJA	Pos|_|_|_|_|	11	attr	266	266
11	Vergrößerungslinsen	Vergrößerungslinse	N	NN	_|_|_	9	pn	266	266
12	als	als	K	KOKOM	_	11	kom	266	266
13	Blüten	Blüte	N	NN	Fem|_|Pl	12	cj	174	174
14	vortreten	vortreten	V	VVINF	_	3	obji	_	_
15	-	-	$	$(	_	0	root	_	_
16	und	und	K	KON	_	3	kon	_	_
17	dadurch	dadurch	P	PROAV	_	18	pp	_	_
18	veränderte	verändern	V	VVFIN	3|Sg|Past|_	16	cj	_	_
19	sich	sie	P	PRF	3|_|_	18	obja	_	_
20	das	die	A	ART	Def|Neut|Nom|Sg	21	det	175	175
21	Bild	Bild	N	NN	Neut|Nom|Sg	18	subj	175	175
22	so	so	A	ADV	_	23	adv	_	_
23	plötzlich	plötzlich	A	ADJD	Pos|	18	adv	_	_
24	,	,	$	$,	_	0	root	_	_
25	daß	daß	K	KOUS	_	30	konj	_	_
26	der	die	A	ART	Def|Masc|Nom|Sg	27	det	152	152
27	Nabob	Nabob	N	NN	Masc|Nom|Sg	30	subj	152	152
28	ganz	ganz	A	ADV	_	29	adv	_	_
29	erregt	erregt	A	ADJD	Pos|	30	adv	_	_
30	aufsprang	aufspringen	V	VVFIN	3|Sg|Past|Ind	18	objc	_	_
31	.	.	$	$.	_	0	root	_	_

1	Als	Als	K	KOUS	_	7	konj	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	7	subj	267	267
3	nachher	nachher	A	ADV	_	7	adv	_	_
4	mit	mit	P	APPR	Dat	7	pp	_	_
5	William	William	N	NE	Masc|Dat|Sg	4	pn	31	31
6	allein	allein	A	ADV	_	4	adv	_	_
7	war	sein	V	VAFIN	1|Sg|Past|Ind	9	neb	_	_
8	,	,	$	$,	_	0	root	_	_
9	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
10	der	die	P	PDS	Masc|Nom|Sg	9	subj	_	_
11	:	\:	$	$.	_	0	root	_	_

1			N	NE	_	0	root	124	124
2	Die	die	A	ART	Def|Fem|Nom|Sg	3	det	115	115
3	Flora	Flora	N	NN	Fem|Nom|Sg	4	subj	115	115
4	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	ja	ja	A	ADV	_	4	adv	_	_
6	gewissermaßen	gewissermaßen	A	ADV	_	4	adv	_	_
7	Recht	Recht	N	NN	Neut|_|Sg	4	obja	176	176
8	;	;	$	$.	_	0	root	_	_
9	ich	ich	P	PPER	1|Sg|_|Nom	10	subj	267	267
10	gebe	geben	V	VVFIN	1|Sg|Pres|_	0	root	_	_
11	zu	zu	P	PTKVZ	_	10	avz	_	_
12	,	,	$	$,	_	0	root	_	_
13	daß	daß	K	KOUS	_	19	konj	_	_
14	immer	immer	A	ADV	_	15	adv	_	_
15	nur	nur	A	ADV	_	19	adv	_	_
16	Farben	Farbe	N	NN	Fem|Nom|Pl	19	subj	173	173
17	und	und	K	KON	_	16	kon	_	_
18	Formen	Form	N	NN	_|Nom|_	17	cj	177	177
19	kommen	kommen	V	VVFIN	3|Pl|Pres|_	10	objc	_	_
20	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	-	-	$	$(	_	0	root	_	_
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	es	es	P	PPER	3|Sg|Neut|Nom	3	subj	_	_
5	nicht	nicht	P	PTKNEG	_	3	adv	_	_
6	ein	eine	A	ART	Indef|_|_|Sg	0	root	_	_
7	bißchen	bißchen	A	ADV	_	8	adv	_	_
8	anspruchsvoll	anspruchsvoll	A	ADJD	Pos|	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	wenn	wenn	K	KOUS	_	19	konj	_	_
11	man	man	P	PIS	_|Nom|Sg	19	subj	_	_
12	immer	immer	A	ADV	_	13	adv	_	_
13	gleich	gleich	A	ADJD	Pos|	18	adv	_	_
14	den	die	A	ART	Def|Masc|Acc|Sg	15	det	268	268
15	Kern	Kern	N	NN	Masc|Acc|Sg	18	obja	268	268
16	der	die	A	ART	Def|Fem|Gen|Sg	17	det	158	158
17	Natur	Natur	N	NN	Fem|Gen|Sg	15	gmod	158	158
18	entdecken	entdecken	V	VVINF	_	19	aux	_	_
19	will	wollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
20	?	?	$	$.	_	0	root	_	_
21			F	FM	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	267	267
2	mußte	müssen	V	VMFIN	1|Sg|Past|Ind	0	root	_	_
3	das	die	P	PDS	Neut|_|Sg	4	obja	_	_
4	bejahen	bejahen	V	VVINF	_	2	aux	_	_
5	und	und	K	KON	_	2	kon	_	_
6	sagte	sagen	V	VVFIN	_|Sg|Past|_	5	cj	_	_
7	tröstend	trösten	A	ADJD	_|<PPRES	6	adv	_	_
8	:	\:	$	$.	_	0	root	_	_

1	Vergiß	Vergiß	N	NE	_	0	root	269	269
2	auch	auch	A	ADV	_	1	adv	269	269
3	nicht	nicht	P	PTKNEG	_	1	adv	269	269
4	,	,	$	$,	_	0	root	_	_
5	daß	daß	K	KOUS	_	13	konj	_	_
6	wir	wir	P	PPER	1|Pl|_|Nom	13	subj	_	_
7	den	die	A	ART	Def|Masc|Acc|Sg	8	det	268	268
8	Kern	Kern	N	NN	Masc|Acc|Sg	13	obja	268	268
9	der	die	A	ART	Def|Fem|Gen|Sg	10	det	158	158
10	Natur	Natur	N	NN	Fem|Gen|Sg	8	gmod	158	158
11	eigentlich	eigentlich	A	ADV	_	13	adv	_	_
12	garnicht	garnicht	A	ADJD	_	13	adv	_	_
13	kennen	kennen	V	VVFIN	1|Pl|Pres|_	0	root	_	_
14	.	.	$	$.	_	0	root	_	_

1			N	NE	_	5	vok	124	124
2	Und	und	K	KON	_	1	kon	_	_
3			N	NE	_	2	cj	55	55
4	,	,	$	$,	_	0	root	_	_
5	rief	rufen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
6	nun	nun	A	ADV	_	5	adv	_	_
7	mein	meine	A	PPOSAT	Masc|Nom|Sg	8	det	267	267
8	Freund	Freund	N	NN	Masc|Nom|Sg	5	subj	_	_
9	vergnügt	vergnügen	V	VVPP	_	5	neb	_	_
10	,	,	$	$,	_	0	root	_	_
11			K	KOUS	_	13	konj	_	_
12	ich	ich	P	PPER	1|Sg|_|Nom	13	subj	267	267
13	weiß	wissen	V	VVFIN	1|Sg|Pres|Ind	0	root	_	_
14	ja	ja	A	ADV	_	13	adv	_	_
15	doch	doch	A	ADV	_	13	adv	_	_
16	,	,	$	$,	_	0	root	_	_
