10	schon	schon	A	ADV	_	11	adv	_	_
11	gelungen	gelingen	V	VVPP	_	12	aux	_	_
12	ist	sein	V	VAFIN	3|Sg|Pres|Ind	5	objc	_	_
13	,	,	$	$,	_	0	root	_	_
14	als	als	K	KOKOM	_	19	kom	_	_
15	kleiner	klein	A	ADJA	Pos|Masc|Nom|Sg|St|	16	attr	_	_
16	Stern	Stern	N	NN	Masc|Nom|Sg	14	cj	_	_
17	im	in	P	APPRART	Dat	19	pp	_	_
18	Weltraume	Weltraum	N	NN	Masc|Dat|Sg	17	pn	_	_
19	herumzusausen	herumsausen	V	VVIZU	_	11	obji	_	_
20	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	-	-	$	$(	_	0	root	_	_
3	Du	du	P	PPER	2|Sg|_|Nom	4	subj	501	501
4	siehst	sehen	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
5	mich	ich	P	PPER	1|Sg|_|Acc	4	obja	502	502
6	hier	hier	A	ADV	_	4	adv	_	_
7	wieder	wieder	A	ADV	_	4	adv	_	_
8	als	als	K	KOKOM	_	4	kom	_	_
9	Mensch	Mensch	N	NN	_|_|Sg	8	cj	503	503
10	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	502	502
2	gabs	gabs	V	VVFIN	1|Sg|_|_	0	root	_	_
3	auf	auf	P	PTKVZ	_	2	avz	_	_
4	,	,	$	$,	_	0	root	_	_
5	als	als	K	KOKOM	_	0	root	_	_
6	Stern	Stern	N	NN	Masc|_|Sg	5	cj	516	516
7	zu	zu	P	PTKZU	_	8	part	_	_
8	leben	leben	V	VVINF	_	0	root	_	_
9	;	;	$	$.	_	0	root	_	_
10	ich	ich	P	PPER	1|Sg|_|Nom	11	subj	502	502
11	hielts	hielts	V	VVFIN	1|Sg|_|_	0	root	_	_
12	einfach	einfach	A	ADJD	Pos|	11	adv	_	_
13	nicht	nicht	P	PTKNEG	_	11	adv	_	_
