5	sich	sie	P	PRF	3|_|Dat	4	pn	_	_
6	auf	auf	P	APPR	Acc	3	objp	_	_
7	das	die	A	ART	Def|Neut|Acc|Sg	8	det	33	33
8	Theater	Theater	N	NN	Neut|Acc|Sg	6	pn	33	33
9	.	.	$	$.	_	0	root	_	_

1	Was	was	P	PWS	Neut|_|Sg	2	obja	_	_
2	fang	fang	V	VVFIN	1|Sg|_|_	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	726	726
4	an	an	P	PTKVZ	_	2	avz	_	_
5	,	,	$	$,	_	0	root	_	_
6	ich	ich	P	PPER	Masc|Nom|_	0	root	_	_
7	Elendester	Elendester	N	NN	_|_|_	6	app	_	_
8	?	?	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	das	die	A	ART	Def|Neut|Nom|Sg	3	det	9	9
3	Stück	Stück	N	NN	Neut|Nom|Sg	4	subj	9	9
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	sogleich	sogleich	A	ADV	_	4	adv	_	_
6	zu	zu	P	APPR	Dat	4	pp	_	_
7	Ende	Ende	N	NN	Neut|Dat|Sg	6	pn	43	43
8	-	-	$	$(	_	0	root	_	_
9	alles	alle	P	PIS	Neut|Nom|Sg	10	subj	_	_
10	wäre	sein	V	VAFIN	3|Sg|Past|Subj	4	kon	_	_
11	vielleicht	vielleicht	A	ADV	_	13	adv	_	_
12	gut	gut	A	ADJD	Pos|	13	pred	_	_
13	gegangen	gehen	V	VVPP	_	10	aux	_	_
14	-	-	$	$(	_	0	root	_	_
15	ich	ich	P	PPER	1|Sg|_|Nom	16	subj	726	726
16	hatte	haben	V	VAFIN	1|Sg|Past|Ind	10	kon	_	_
17	nun	nun	A	ADV	_	26	adv	_	_
18	gerade	gerade	A	ADV	_	26	adv	_	_
19	von	von	P	APPR	_	26	pp	_	_
20	dieser	diese	A	PDAT	Fem|_|Sg	22	det	_	_
21	moralischen	moralisch	A	ADJA	Pos|Fem|_|Sg|Wk|	22	attr	_	_
