
1	Kuhmagd	Kuhmagd	N	NN	Fem|_|Sg	0	root	626	626
2	!	!	$	$.	_	0	root	_	_

1	brüllte	brüllen	V	VVFIN	3|Sg|Past|_	0	root	_	_
2	der	die	A	ART	Def|Masc|Nom|Sg	3	det	612	612
3	Kronprinz	Kronprinz	N	NN	Masc|Nom|Sg	1	subj	612	612
4	nochmals	nochmals	A	ADV	_	1	adv	_	_
5	und	und	K	KON	_	1	kon	_	_
6	versuchte	versuchen	V	VVFIN	_|Sg|Past|_	5	cj	_	_
7	,	,	$	$,	_	0	root	_	_
8	sich	sie	P	PRF	3|_|_	0	root	_	_
9	die	die	A	ART	Def|Fem|_|Sg	10	det	634	634
10	Schminke	Schminke	N	NN	Fem|_|Sg	11	obja	634	634
11	wegzuwischen	wegwischen	V	VVIZU	_	0	root	_	_
12	,	,	$	$,	_	0	root	_	_
13	erreichte	erreichen	V	VVFIN	_|Sg|Past|_	0	root	_	_
14	damit	damit	P	PROAV	_	13	pp	_	_
15	aber	aber	A	ADV	_	13	adv	_	_
16	nur	nur	A	ADV	_	13	adv	_	_
17	,	,	$	$,	_	0	root	_	_
18	daß	daß	K	KOUS	_	25	konj	_	_
19	sie	sie	P	PPER	3|Sg|Fem|Nom	25	subj	634	634
20	sich	sie	P	PRF	3|_|_	25	obja	_	_
21	über	über	P	APPR	Acc	25	pp	_	_
22	das	die	A	ART	Def|Neut|Acc|Sg	24	det	_	_
23	ganze	ganz	A	ADJA	Pos|Neut|Acc|Sg|Wk|	24	attr	_	_
24	Gesicht	Gesicht	N	NN	Neut|Acc|Sg	21	pn	_	_
25	verbreitete	verbreiten	V	VVFIN	3|Sg|Past|_	13	subjc	_	_
26	.	.	$	$.	_	0	root	_	_

1	So	so	A	ADV	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	mit	mit	P	APPR	Dat	8	pp	_	_
4	einem	eine	A	ART	Indef|Masc|Dat|Sg	6	det	_	_
5	päonienroten	päonienroten	A	ADJA	_|Masc|Dat|Sg|_	6	attr	_	_
6	Kopfe	Kopf	N	NN	Masc|Dat|Sg	3	pn	_	_
7	,	,	$	$,	_	0	root	_	_
8	rannte	rennen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
9	er	er	P	PPER	3|Sg|Masc|Nom	8	subj	612	612
10	,	,	$	$,	_	0	root	_	_
11	umringt	umringen	V	VVFIN	_|_|Pres|Ind	8	kon	_	_
12	von	von	P	APPR	_	11	pp	_	_
13	seinen	seine	A	PPOSAT	Fem|_|Pl	18	det	612	612
14	ganz	ganz	A	ADV	_	17	adv	635	635
15	außer	außer	P	APPR	Dat	17	pp	635	635
16	sich	sie	P	PRF	3|_|Dat	15	pn	635	635
17	geratenen	geraten	A	ADJA	Pos|Fem|_|Pl|_|	18	attr	635	635
18	Damen	Dame	N	NN	Fem|_|Pl	12	pn	635	635
19	,	,	$	$,	_	0	root	635	635
20	die	die	P	PRELS	Fem|Nom|Pl	27	subj	635	635
21	die	die	A	ART	Def|Masc|_|Pl	22	det	636	636
22	Röcke	Rock	N	NN	Masc|_|Pl	27	obja	636	636
23	bis	bis	P	APPR	Acc	27	pp	_	_
24	über	über	P	APPR	Acc	23	pp	_	_
25	die	die	A	ART	Def|Neut|Acc|Pl	26	det	637	637
26	Knie	Knie	N	NN	Neut|Acc|Pl	24	pn	637	637
27	hochhoben	hochheben	V	VVFIN	3|Pl|Past|Ind	18	rel	_	_
28	,	,	$	$,	_	0	root	_	_
29	davon	davon	P	PROAV	_	11	pp	_	_
30	,	,	$	$,	_	0	root	_	_
31	dem	die	A	ART	Def|Masc|Dat|Sg	33	det	617	617
32	östlichen	östlich	A	ADJA	Pos|Masc|Dat|Sg|Wk|	33	attr	617	617
33	Palaste	Palast	N	NN	Masc|Dat|Sg	0	root	617	617
34	zu	zu	P	PTKVZ	_	0	root	_	_
35	.	.	$	$.	_	0	root	_	_

1	Prinzessin	Prinzessin	N	NN	Fem|Nom|Sg	4	subj	6	6
2	Pao	Pao	N	NE	Fem|Nom|Sg	1	app	6	6
3	aber	aber	A	ADV	_	1	adv	_	_
4	fiel	fallen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
5	im	in	P	APPRART	Dat	4	pp	_	_
6	Juwelensaal	Juwelensaal	N	NN	Masc|Dat|Sg	5	pn	638	638
7	auf	auf	P	APPR	Acc	4	pp	_	_
8	einen	eine	A	ART	Indef|Masc|Acc|Sg	9	det	_	_
9	Divan	Divan	N	NN	Masc|Acc|Sg	7	pn	_	_
10	nieder	nieder	P	PTKVZ	_	4	avz	_	_
11	und	und	K	KON	_	4	kon	_	_
12	schrie	schreien	V	VVFIN	_|Sg|Past|_	11	cj	_	_
13	fürchterlich	fürchterlich	A	ADJD	Pos|	12	adv	_	_
14	.	.	$	$.	_	0	root	_	_

1	Als	Als	K	KOKOM	_	8	kom	_	_
2	Kaiser	Kaiser	N	NE	_	1	cj	221	221
