8	heute	heute	A	ADV	_	9	adv	_	_
9	abend	abend	A	ADV	_	10	adv	_	_
10	führt	führen	V	VVFIN	3|Sg|Pres|Ind	6	cj	_	_
11	uns	wir	P	PPER	1|Pl|_|_	10	obja	1332	1332
12	eins	eins	P	PIS	_|Nom|Sg	10	subj	_	_
13	der	die	A	ART	Def|Neut|Gen|Pl	15	det	1333	1333
14	kleinen	klein	A	ADJA	Pos|Neut|Gen|Pl|Wk|	15	attr	1333	1333
15	Ohioboote	Ohioboot	N	NN	Neut|Gen|Pl	12	gmod	1333	1333
16	,	,	$	$,	_	0	root	_	_
17	die	die	P	PRELS	_|_|_	0	root	1333	1333
18	du	du	P	PPER	2|Sg|_|Nom	0	root	1335	1335
19	dort	dort	A	ADV	_	20	adv	_	_
20	liegen	liegen	V	VVFIN	_|Pl|Pres|_	0	root	_	_
21	siehst	sehen	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
22	,	,	$	$,	_	0	root	_	_
23	den	die	A	ART	Def|Masc|Acc|Sg	25	det	_	_
24	wunderschönen	wunderschön	A	ADJA	Pos|Masc|Acc|Sg|_|	25	attr	_	_
25	Strom	Strom	N	NN	Masc|Acc|Sg	0	root	_	_
26	hinauf	hinauf	A	ADV	_	25	adv	_	_
27	und	und	K	KON	_	26	kon	_	_
28	in	in	P	APPR	Acc	27	cj	_	_
29	die	die	A	ART	Def|_|Acc|_	30	det	_	_
30	Arme	Arm	N	NN	_|Acc|_	28	pn	_	_
31	meiner	meine	A	PPOSAT	_|Gen|Pl	32	det	1334	1334
32	Eltern	Elter	N	NN	_|Gen|Pl	30	gmod	_	_
33	-	-	$	$(	_	0	root	_	_
34	meines	meine	A	PPOSAT	Masc|Gen|Sg	35	det	1334	1334
35	Vaters	Vater	N	NN	Masc|Gen|Sg	32	gmod	_	_
36	-	-	$	$(	_	0	root	_	_
37	meiner	meine	A	PPOSAT	Fem|Gen|Sg	38	det	1334	1334
38	Mutter	Mutter	N	NN	Fem|Gen|Sg	35	gmod	_	_
39	.	.	$	$.	_	0	root	_	_
40	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Vater	Vater	N	NN	Masc|_|Sg	0	root	1508	1508
3	-	-	$	$(	_	0	root	_	_
4	Mutter	Mutter	N	NN	Fem|_|Sg	0	root	_	_
5	«	«	$	$(	_	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	flüsterte	flüstern	V	VVFIN	3|Sg|Past|_	4	par	_	_
8	das	die	A	ART	Def|Neut|Nom|Sg	9	det	358	358
9	Mädchen	Mädchen	N	NN	Neut|Nom|Sg	7	subj	358	358
10	leise	leise	A	ADJD	Pos|	7	adv	_	_
11	und	und	K	KON	_	10	kon	_	_
12	traurig	traurig	A	ADJD	Pos|	11	cj	_	_
13	vor	vor	P	APPR	_	7	pp	_	_
14	sich	sie	P	PRF	3|_|_	13	pn	_	_
15	hin	hin	A	APZR	_	13	part	_	_
16	,	,	$	$,	_	0	root	_	_
17	»	»	$	$(	_	0	root	_	_
18	wie	wie	K	KOKOM	_	4	kom	_	_
19	süß	süß	A	ADJD	Pos|	18	cj	_	_
20	,	,	$	$,	_	0	root	_	_
21	wie	wie	P	PWAV	_	0	root	_	_
22	lieb	lieb	A	ADJD	Pos|	24	adv	_	_
23	die	die	A	ART	Def|Masc|_|Pl	24	det	_	_
24	Namen	Name	N	NN	Masc|_|Pl	0	root	_	_
25	dem	die	A	ART	Def|Neut|Dat|Sg	26	det	1109	1109
26	Ohre	Ohr	N	NN	Neut|Dat|Sg	27	objd	1109	1109
27	klingen	klingen	V	VVINF	_	0	root	_	_
28	-	-	$	$(	_	0	root	_	_
29	und	und	K	KON	_	27	par	_	_
30	ich	ich	P	PPER	1|Sg|_|Nom	31	subj	1334	1334
31	habe	haben	V	VAFIN	1|Sg|Pres|_	29	cj	_	_
32	nie	nie	A	ADV	_	31	adv	_	_
33	Vater	Vater	N	NN	Masc|_|Sg	31	obja	_	_
34	-	-	$	$(	_	0	root	_	_
35	nie	nie	A	ADV	_	36	adv	_	_
36	Mutter	Mutter	N	NN	Fem|_|Sg	0	root	_	_
37	sagen	sagen	V	VVINF	_	0	root	_	_
38	dürfen	dürfen	V	VMINF	_	0	root	_	_
39	!	!	$	$.	_	0	root	_	_
40	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Du	du	P	PPER	2|Sg|_|Nom	3	subj	1335	1335
3	sollst	sollen	V	VMFIN	2|Sg|Pres|Ind	0	root	_	_
4	es	es	P	PPER	3|Sg|Neut|_	5	obja	_	_
5	lernen	lernen	V	VVINF	_	3	aux	_	_
6	,	,	$	$,	_	0	root	_	_
7	Mädchen	Mädchen	N	NN	Neut|_|_	0	root	889	889
8	«	«	$	$(	_	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
11	da	da	A	ADV	_	10	adv	_	_
12	der	die	A	ART	Def|Masc|Nom|Sg	14	det	378	378
13	junge	jung	A	ADJA	Pos|Masc|Nom|Sg|Wk|	14	attr	378	378
14	Mann	Mann	N	NN	Masc|Nom|Sg	10	subj	378	378
15	,	,	$	$,	_	0	root	_	_
16	in	in	P	APPR	Dat	23	pp	_	_
17	tiefster	tief	A	ADJA	Sup|Fem|Dat|Sg|St|	18	attr	_	_
18	Seele	Seele	N	NN	Fem|Dat|Sg	16	pn	_	_
19	von	von	P	APPR	Dat	18	pp	_	_
20	den	die	A	ART	Def|Fem|Dat|Pl	22	det	1336	1336
21	rührenden	rührend	A	ADJA	Pos|Fem|Dat|Pl|_|<PPRES	22	attr	1336	1336
22	Tränen	Träne	N	NN	Fem|Dat|Pl	19	pn	1336	1336
23	bewegt	bewegen	V	VVFIN	_|_|Pres|Ind	10	kon	_	_
24	,	,	$	$,	_	0	root	_	_
25	»	»	$	$(	_	0	root	_	_
26	mein	meine	A	PPOSAT	Neut|_|Sg	27	det	1334	1334
27	Vaterhaus	Vaterhaus	N	NN	Neut|_|Sg	0	root	_	_
28	,	,	$	$,	_	0	root	_	_
29	du	du	P	PPER	2|Sg|_|Nom	0	root	1335	1335
30	armes	arm	A	ADJA	Pos|Neut|_|Sg|St|	31	attr	_	_
31	Kind	Kind	N	NN	Neut|_|Sg	0	root	_	_
32	,	,	$	$,	_	0	root	_	_
33	sei	sein	V	VAFIN	_|Sg|Pres|Subj	0	root	_	_
34	auch	auch	A	ADV	_	33	adv	_	_
35	von	von	P	APPR	_	33	pp	_	_
36	jetzt	jetzt	A	ADV	_	35	adv	_	_
37	das	die	A	ART	Def|Neut|_|Sg	0	root	_	_
38	deine	deine	P	PPOSS	_|_|_	0	root	_	_
39	,	,	$	$,	_	0	root	_	_
40	und	und	K	KON	_	0	root	_	_
41	jetzt	jetzt	A	ADV	_	40	cj	_	_
42	,	,	$	$,	_	0	root	_	_
43	wo	wo	P	PWAV	_	48	adv	_	_
44	du	du	P	PPER	2|Sg|_|Nom	48	subj	1335	1335
45	frank	frank	A	ADJD	Pos|	48	adv	_	_
46	und	und	K	KON	_	45	kon	_	_
47	frei	frei	A	ADJD	Pos|	46	cj	_	_
48	bist	sein	V	VAFIN	2|Sg|Pres|Ind	41	rel	_	_
49	,	,	$	$,	_	0	root	_	_
50	wo	wo	P	PWAV	_	0	root	_	_
51	dich	du	P	PPER	2|Sg|_|Acc	0	root	1335	1335
52	kein	keine	A	PIAT	_|_|Sg	0	root	_	_
53	Sklavenhalter	Sklavenhalter	N	NN	Masc|_|_	54	obja	_	_
54	suchen	suchen	V	VVFIN	_|Pl|Pres|_	0	root	_	_
55	und	und	K	KON	_	54	kon	_	_
56	finden	finden	V	VVINF	_	57	aux	_	_
57	wird	werden	V	VAFIN	3|Sg|Pres|Ind	55	cj	_	_
58	,	,	$	$,	_	0	root	_	_
59	und	und	K	KON	_	57	kon	_	_
60	wenn	wenn	K	KOUS	_	63	konj	_	_
61	sie	sie	P	PPER	3|Pl|_|Nom	63	subj	1336	1336
62	dich	du	P	PPER	2|Sg|_|Acc	63	obja	1335	1335
63	fänden	finden	V	VVFIN	3|Pl|Past|Subj	70	neb	_	_
64	,	,	$	$,	_	0	root	_	_
65	dich	du	P	PPER	2|Sg|_|Acc	69	obja	1335	1335
66	nie	nie	A	ADV	_	69	adv	_	_
67	wieder	wieder	A	ADV	_	68	adv	_	_
68	mir	ich	P	PPER	1|Sg|_|Dat	69	objd	1334	1334
69	entreißen	entreißen	V	VVINF	_	70	aux	_	_
70	sollten	sollen	V	VMFIN	_|Pl|Past|_	59	cj	_	_
71	,	,	$	$,	_	0	root	_	_
72	frag	fragen	V	VVIMP	Sg	0	root	_	_
73	ich	ich	P	PPER	1|Sg|_|Nom	0	root	1334	1334
74	dich	du	P	PPER	2|Sg|_|Acc	78	obja	1335	1335
75	,	,	$	$,	_	0	root	_	_
76	Mädchen	Mädchen	N	NN	Neut|Acc|_	74	app	_	_
77	,	,	$	$,	_	0	root	_	_
78	willst	wollen	V	VMFIN	2|Sg|Pres|Ind	0	root	_	_
79	du	du	P	PPER	2|Sg|_|Nom	78	subj	_	_
80	die	die	P	PDS	Fem|Nom|Sg	81	subj	_	_
81	Meine	meinen	V	VVFIN	3|Sg|Pres|Subj	0	root	_	_
82	-	-	$	$(	_	0	root	_	_
83	willst	wollen	V	VMFIN	2|Sg|Pres|Ind	81	kon	_	_
84	du	du	P	PPER	2|Sg|_|Nom	83	subj	1335	1335
85	mein	meine	A	PPOSAT	Neut|Nom|Sg	86	det	1334	1334
86	Weib	Weib	N	NN	Neut|Nom|Sg	87	pred	_	_
87	sein	sein	V	VAINF	_	83	aux	_	_
88	,	,	$	$,	_	0	root	_	_
89	mein	meine	A	PPOSAT	Neut|_|Sg	93	det	1334	1334
90	braves	brav	A	ADJA	Pos|Neut|_|Sg|St|	93	attr	_	_
91	,	,	$	$,	_	0	root	_	_
92	liebes	lieb	A	ADJA	Pos|Neut|_|Sg|St|	90	kon	_	_
93	Weib	Weib	N	NN	Neut|_|Sg	0	root	_	_
94	in	in	P	APPR	_	93	pp	_	_
95	Freud	Freud	N	NN	Neut|_|Sg	94	pn	_	_
96	und	und	K	KON	_	95	kon	_	_
