14	Alten	Alt	N	NN	_|_|Pl	5	app	_	_
15	«	«	$	$(	_	0	root	_	_
16	;	;	$	$.	_	0	root	_	_
17	aber	aber	K	KON	_	0	root	_	_
18	von	von	P	APPR	Dat	20	pp	_	_
19	uns	wir	P	PPER	1|Pl|_|Dat	18	pn	282	282
20	werden	werden	V	VAFIN	3|Pl|Pres|_	17	cj	_	_
21	sie	sie	P	PPER	3|Pl|_|Nom	20	subj	281	281
22	ironisch	ironisch	A	ADJD	Pos|	28	adv	_	_
23	»	»	$	$(	_	0	root	_	_
24	die	die	A	ART	Def|_|Nom|Pl	26	det	_	_
25	guten	gut	A	ADJA	Pos|_|Nom|Pl|Wk|	26	attr	_	_
26	Alten	Alt	N	NN	_|Nom|Pl	28	pred	_	_
27	«	«	$	$(	_	0	root	_	_
28	genannt	nennen	V	VVPP	_	20	aux	_	_
29	.	.	$	$.	_	0	root	_	_

1	Doch	doch	K	KON	_	0	root	_	_
2	das	die	A	ART	Def|Neut|_|Sg	3	det	_	_
3	vergib	vergib	N	NN	Neut|_|Sg	0	root	_	_
4	;	;	$	$.	_	0	root	_	_
5	denn	denn	K	KON	_	0	root	_	_
6	wenigstens	wenigstens	A	ADV	_	7	adv	_	_
7	ist	sein	V	VAFIN	3|Sg|Pres|Ind	5	cj	_	_
8	unser	unsre	A	PPOSAT	Neut|Nom|Sg	9	det	282	282
9	Jahrhundert	Jahrhundert	N	NN	Neut|Nom|Sg	7	subj	1181	1181
10	älter	alt	A	ADJD	Comp|	7	pred	_	_
11	als	als	K	KOKOM	_	7	kom	_	_
12	jedes	jede	A	PIDAT	_|_|Sg	13	det	_	_
13	andere	andere	A	ADJA	_|_|Sg	11	cj	_	_
14	;	;	$	$.	_	0	root	_	_
15	und	und	K	KON	_	0	root	_	_
16	mithin	mithin	A	ADV	_	17	adv	_	_
17	sind	sein	V	VAFIN	1|Pl|Pres|Ind	15	cj	_	_
18	wir	wir	P	PPER	1|Pl|_|Nom	17	subj	282	282
19	als	als	K	KOKOM	_	34	kom	_	_
20	die	die	A	ART	Def|_|_|_	21	det	_	_
21	erfahrungsreichern	erfahrungsreichern	N	NN	_|_|_	19	cj	_	_
22	eigentlich	eigentlich	A	ADV	_	24	adv	_	_
23	die	die	A	ART	Def|_|Nom|Pl	24	det	_	_
24	Alten	Alt	N	NN	_|Nom|Pl	34	pred	_	_
25	,	,	$	$,	_	0	root	_	_
26	gegen	gegen	P	APPR	Acc	24	pp	_	_
27	tote	tote	A	ADJA	_|_|Acc|_|_	28	attr	1152	1152
28	Alte	Alt	N	NN	_|Acc|_	26	pn	1152	1152
29	,	,	$	$,	_	0	root	_	_
30	aber	aber	K	KON	_	26	kon	_	_
31	nicht	nicht	P	PTKNEG	_	32	adv	_	_
32	gegen	gegen	P	APPR	Acc	30	cj	_	_
33	lebendige	lebendig	A	ADJA	Pos|_|Acc|_|_|	32	pn	_	_
34	gehalten	halten	V	VVPP	_	17	aux	_	_
35	.	.	$	$.	_	0	root	_	_

1	Allein	Allein	A	ADV	_	2	adv	_	_
2	in	in	P	APPR	Dat	6	pp	_	_
3	unserer	unsre	A	PPOSAT	Fem|Dat|Sg	5	det	282	282
4	frechen	frech	A	ADJA	Pos|Fem|Dat|Sg|Wk|	5	attr	_	_
5	Literatur	Literatur	N	NN	Fem|Dat|Sg	2	pn	_	_
6	wirtschaften	wirtschaften	V	VVFIN	3|Pl|Pres|_	0	root	_	_
7	jetzt	jetzt	A	ADV	_	6	adv	_	_
8	nicht	nicht	P	PTKNEG	_	9	adv	285	285
9	Alte	Alt	N	NN	_|Nom|Pl	6	subj	285	285
10	,	,	$	$,	_	0	root	285	285
11	sondern	sondern	K	KON	_	9	kon	285	285
12	Junge	Junge	N	NN	_|Nom|_	11	cj	283	283
13	vom	von	P	APPRART	Dat	6	pp	_	_
14	Berge	Berg	N	NN	Masc|Dat|Sg	13	pn	_	_
15	,	,	$	$,	_	0	root	_	_
16	bei	bei	P	APPR	Dat	0	root	_	_
17	denen	die	P	PRELS	_|Dat|Pl	16	pn	283	283
18	man	man	P	PIS	_|Nom|Sg	0	root	_	_
19	gerade	gerade	A	ADV	_	20	adv	_	_
20	nach	nach	P	APPR	Dat	18	pp	_	_
21	der	die	A	ART	Def|Fem|Dat|Sg	22	det	_	_
22	Ancienneté	Ancienneté	N	NN	Fem|Dat|Sg	20	pn	_	_
23	devanciert	devanciert	N	NE	Fem|Dat|Sg	22	app	_	_
24	;	;	$	$.	_	0	root	_	_
25	die	die	A	ART	Def|_|_|Pl	27	det	284	284
26	lebenden	lebend	A	ADJA	Pos|_|_|Pl|Wk|<PPRES	27	attr	284	284
27	Alten	Alt	N	NN	_|_|Pl	36	obja	284	284
28	,	,	$	$,	_	0	root	284	284
29	denen	die	P	PRELS	_|Dat|Pl	34	objd	284	284
30	Pythagoras	Pythagoras	N	NN	Masc|Nom|Sg	34	subj	_	_
31	in	in	P	APPR	_	34	pp	_	_
32	Kroton	Kroton	N	NE	_|_|_	31	pn	_	_
33	zuletzt	zuletzt	A	ADV	_	31	adv	_	_
34	predigte	predigen	V	VVFIN	3|Sg|Past|_	27	rel	_	_
35	,	,	$	$,	_	0	root	_	_
36	belehret	belehren	V	VVFIN	2|Pl|Pres|Subj	0	root	_	_
37	ein	eine	A	ART	Indef|_|_|Sg	38	det	_	_
38	junger	jung	A	ADJA	Masc|Nom|Sg	0	root	_	_
39	vom	von	P	APPRART	Dat	38	pp	_	_
40	Musenberge	Musenberg	N	NN	Masc|Dat|Sg	39	pn	_	_
41	zuerst	zuerst	A	ADV	_	40	adv	_	_
42	und	und	K	KON	_	0	root	_	_
43	fängt	fangen	V	VVFIN	3|Sg|Pres|Ind	42	cj	_	_
44	bei	bei	P	APPR	Dat	43	pp	_	_
45	ihnen	sie	P	PPER	3|Pl|_|Dat	44	pn	285	285
46	mit	mit	P	APPR	Dat	43	pp	_	_
47	der	die	A	ART	Def|Fem|Dat|Sg	49	det	1189	1189
48	peinlichen	peinlich	A	ADJA	Pos|Fem|Dat|Sg|Wk|	49	attr	1189	1189
49	Frage	Frage	N	NN	Fem|Dat|Sg	46	pn	1189	1189
50	und	und	K	KON	_	49	kon	_	_
51	Folter	Folter	N	NN	Fem|Dat|Sg	50	cj	286	286
52	an	an	P	PTKVZ	_	43	avz	286	286
53	,	,	$	$,	_	0	root	286	286
54	von	von	P	APPR	_	60	pp	286	286
55	welcher	welche	P	PRELS	Fem|_|Sg	54	pn	286	286
56	sie	sie	P	PPER	3|_|_|_	60	obja	285	285
57	der	die	A	ART	Def|Masc|Nom|Sg	59	det	287	287
58	strengflüssige	strengflüssig	A	ADJA	Pos|Masc|Nom|Sg|Wk|	59	attr	287	287
59	Jurist	Jurist	N	NN	Masc|Nom|Sg	60	subj	287	287
60	losgibt	losgeben	V	VVFIN	3|Sg|Pres|Ind	51	rel	_	_
61	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	287	287
2	postuliert	postulieren	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	freilich	freilich	A	ADV	_	2	adv	_	_
4	von	von	P	APPR	Dat	2	pp	_	_
5	sich	sie	P	PRF	3|_|Dat	4	pn	_	_
6	mit	mit	P	APPR	Dat	2	pp	_	_
7	dem	die	A	ART	Def|_|Dat|Sg	8	det	_	_
8	Rechtgelehrten	Rechtgelehrte	N	NN	_|Dat|Sg	6	pn	_	_
9	,	,	$	$,	_	0	root	_	_
10	daß	daß	K	KOUS	_	15	konj	_	_
11	die	die	A	ART	Def|Fem|Nom|Sg	12	det	288	288
12	Bosheit	Bosheit	N	NN	Fem|Nom|Sg	15	subj	288	288
13	das	die	A	ART	Def|Neut|_|Sg	14	det	620	620
14	Alter	Alter	N	NN	Neut|_|Sg	15	obja	620	620
15	ersetze	ersetzen	V	VVFIN	3|Sg|Pres|Subj	2	objc	_	_
16	;	;	$	$.	_	0	root	_	_
17	aber	aber	K	KON	_	0	root	_	_
18	sei	sein	V	VAFIN	_|Sg|Pres|Subj	17	cj	_	_
19	es	es	P	PPER	3|Sg|Neut|Nom	18	subj	_	_
20	auch	auch	A	ADV	_	18	adv	_	_
21	,	,	$	$,	_	0	root	_	_
22	daß	daß	K	KOUS	_	28	konj	_	_
23	sie	sie	P	PPER	3|Sg|Fem|Nom	28	subj	288	288
24	die	die	A	ART	Def|Fem|_|Sg	25	det	_	_
25	Verhärtung	Verhärtung	N	NN	Fem|_|Sg	28	obja	_	_
26	des	die	A	ART	Def|Neut|Gen|Sg	27	det	289	289
27	Herzens	Herzen	N	NN	Neut|Gen|Sg	25	gmod	289	289
28	antizipiere	antizipieren	V	VVFIN	3|Sg|Pres|Subj	18	objc	_	_
