22	ein	eine	A	ART	Indef|Neut|Nom|Sg	23	det	_	_
23	Mutterauge	Mutterauge	N	NN	Neut|Nom|Sg	27	subj	_	_
24	auf	auf	P	APPR	Acc	26	pp	_	_
25	ihn	er	P	PPER	3|Sg|Masc|Acc	24	pn	1703	1703
26	herabgelächelt	herablächeln	V	VVPP	_	27	aux	_	_
27	hat	haben	V	VAFIN	3|Sg|Pres|Ind	19	objc	_	_
28	?	?	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	2	det	46	46
2	Erinnerung	Erinnerung	N	NN	Fem|Nom|Sg	3	subj	46	46
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	das	die	A	ART	Def|Neut|Nom|Sg	5	det	1704	1704
5	Gewinde	Gewinde	N	NN	Neut|Nom|Sg	3	pred	1704	1704
6	,	,	$	$,	_	0	root	1704	1704
7	welches	welche	P	PRELS	Neut|Nom|Sg	13	subj	1704	1704
8	die	die	A	ART	Def|Fem|_|Sg	9	det	1037	1037
9	Wiege	Wiege	N	NN	Fem|_|Sg	13	obja	1037	1037
10	mit	mit	P	APPR	Dat	13	objp	_	_
11	dem	die	A	ART	Def|Neut|Dat|Sg	12	det	719	719
12	Grabe	Grab	N	NN	Neut|Dat|Sg	10	pn	719	719
13	verknüpft	verknüpfen	V	VVFIN	3|Sg|Pres|Ind	5	rel	_	_
14	,	,	$	$,	_	0	root	_	_
15	und	und	K	KON	_	13	kon	_	_
16	mag	mögen	V	VMFIN	3|Sg|Pres|Ind	15	cj	_	_
17	das	die	P	PDS	Neut|Nom|Sg	16	subj	_	_
18	dunkle	dunkeln	V	VVFIN	1|Sg|Pres|Ind	16	s	_	_
19	,	,	$	$,	_	0	root	_	_
20	stachlichte	stachlichte	A	ADJA	_|Neut|Nom|Sg|_	21	attr	_	_
21	Grün	Grün	N	NN	Neut|Nom|Sg	5	app	_	_
22	des	die	A	ART	Def|Neut|Gen|Sg	23	det	452	452
23	Leidens	Leiden	N	NN	Neut|Gen|Sg	21	gmod	452	452
24	,	,	$	$,	_	0	root	_	_
25	des	die	A	ART	Def|Masc|Gen|Sg	26	det	_	_
26	Irrtums	Irrtum	N	NN	Masc|Gen|Sg	30	objg	_	_
27	noch	noch	A	ADV	_	30	adv	_	_
28	so	so	A	ADV	_	29	adv	_	_
29	vorwaltend	vorwalten	A	ADJD	_|<PPRES	30	pred	_	_
30	sein	sein	V	VAINF	_	0	root	_	_
31	,	,	$	$,	_	0	root	_	_
32	niemals	niemals	A	ADV	_	33	adv	_	_
33	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
34	'	'	$	$(	_	0	root	_	_
35	s	s	P	PPER	_|Sg|_|Nom	33	subj	1704	1704
36	hier	hier	A	ADV	_	43	adv	_	_
37	und	und	K	KON	_	36	kon	_	_
38	da	da	A	ADV	_	37	cj	_	_
39	an	an	P	APPR	Dat	43	objp	_	_
40	einer	eine	A	ART	Indef|Fem|Dat|Sg	42	det	1705	1705
41	hervorleuchtenden	hervorleuchtend	A	ADJA	Pos|Fem|Dat|Sg|Wk|<PPRES	42	attr	1705	1705
42	Blume	Blume	N	NN	Fem|Dat|Sg	39	pn	1705	1705
43	fehlen	fehlen	V	VVINF	_	33	aux	1705	1705
44	,	,	$	$,	_	0	root	1705	1705
45	bei	bei	P	APPR	Dat	48	pp	1705	1705
46	welcher	welche	P	PRELS	Fem|Dat|Sg	45	pn	1705	1705
47	wir	wir	P	PPER	1|Pl|_|Nom	48	subj	1709	1709
48	verweilen	verweilen	V	VVFIN	1|Pl|Pres|_	42	rel	_	_
49	und	und	K	KON	_	48	kon	_	_
50	flüstern	flüstern	V	VVINF	_	51	aux	_	_
51	können	können	V	VMFIN	_|Pl|Pres|_	49	cj	_	_
52	:	\:	$	$.	_	0	root	_	_
53	»	»	$	$(	_	0	root	_	_
54	Wie	Wie	P	PWAV	_	58	adv	_	_
55	lieblich	lieblich	A	ADJD	Pos|	58	pred	_	_
56	und	und	K	KON	_	55	kon	_	_
57	heilig	heilig	A	ADJD	Pos|	56	cj	_	_
58	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
59	diese	diese	A	PDAT	Fem|Nom|Sg	60	det	_	_
60	Stätte	Stätte	N	NN	Fem|Nom|Sg	58	subj	_	_
61	!	!	$	$.	_	0	root	_	_
62	«	«	$	$(	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	1706	1706
2	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	_
3	meine	meine	A	PPOSAT	Fem|_|Sg	5	det	1706	1706
4	kleine	klein	A	ADJA	Pos|Fem|_|Sg|_|	5	attr	_	_
5	Lampe	Lampe	N	NN	Fem|_|Sg	6	obja	_	_
6	angezündet	anzünden	V	VVPP	_	2	aux	_	_
7	und	und	K	KON	_	2	kon	_	_
8	träume	träumen	V	VVFIN	_|Sg|Pres|_	7	cj	_	_
9	wieder	wieder	A	ADV	_	8	adv	_	_
10	über	über	P	APPR	Dat	8	pp	_	_
11	den	die	A	ART	Def|Neut|Dat|Pl	12	det	_	_
12	Blättern	Blatt	N	NN	Neut|Dat|Pl	10	pn	_	_
13	meiner	meine	A	PPOSAT	Fem|Gen|Sg	14	det	1706	1706
14	Chronik	Chronik	N	NN	Fem|Gen|Sg	12	gmod	_	_
15	.	.	$	$.	_	0	root	_	_

1	Das	die	P	PDS	Neut|_|Sg	35	obja	_	_
2	,	,	$	$,	_	0	root	_	_
3	was	was	P	PRELS	Neut|Nom|Sg	26	subj	_	_
4	die	die	A	ART	Def|Fem|_|Sg	8	det	1707	1707
5	ältliche	ältlich	A	ADJA	Pos|Fem|_|Sg|_|	8	attr	1707	1707
6	,	,	$	$,	_	0	root	1707	1707
7	freundlich-schöne	freundlich-schön	A	ADJA	Pos|_|_|_|_|	5	kon	1707	1707
8	Frau	Frau	N	NN	Fem|_|Sg	26	obja	1707	1707
9	,	,	$	$,	_	0	root	1707	1707
10	die	die	P	PRELS	Fem|Nom|Sg	17	subj	1707	1707
11	mir	ich	P	PPER	1|Sg|_|Dat	17	objd	1706	1706
12	heute	heute	A	ADV	_	17	adv	_	_
13	den	die	A	ART	Def|Masc|Acc|Sg	14	det	_	_
14	Strauß	Strauß	N	NN	Masc|Acc|Sg	17	obja	_	_
15	junger	jung	A	ADJA	Pos|Fem|Gen|Pl|St|	16	attr	_	_
16	Veilchenknospen	Veilchenknospe	N	NN	Fem|Gen|Pl	14	gmod	_	_
17	herüberbrachte	herüberbringen	V	VVFIN	3|Sg|Past|Ind	8	rel	_	_
18	,	,	$	$,	_	0	root	_	_
19	auf	auf	P	APPR	Dat	25	pp	_	_
20	den	die	A	ART	Def|Fem|Dat|Pl	21	det	_	_
21	Wogen	Woge	N	NN	Fem|Dat|Pl	19	pn	_	_
22	ihrer	ihre	A	PPOSAT	Fem|Gen|Pl	23	det	1707	1707
23	Melodien	Melodie	N	NN	Fem|Gen|Pl	21	gmod	_	_
24	sich	sie	P	PRF	3|_|_	25	obja	_	_
25	schaukeln	schaukeln	V	VVINF	_	26	obji	_	_
26	läßt	lassen	V	VVFIN	3|Sg|Pres|Ind	1	rel	_	_
27	,	,	$	$,	_	0	root	_	_
28	kann	können	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
29	ich	ich	P	PPER	1|Sg|_|Nom	28	subj	1706	1706
30	ja	ja	A	ADV	_	35	adv	_	_
31	nur	nur	A	ADV	_	35	adv	_	_
32	auf	auf	P	APPR	Acc	35	pp	_	_
33	diese	diese	A	PDAT	_|Acc|_	34	det	1708	1708
34	Weise	Weise	N	NN	_|Acc|_	32	pn	1708	1708
35	festhalten	festhalten	V	VVINF	_	28	aux	_	_
36	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Ich	ich	P	PPER	1|Sg|_|Nom	3	subj	1706	1706
3	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	_
4	bis	bis	P	APPR	Acc	7	pp	_	_
5	jetzt	jetzt	A	ADV	_	6	adv	_	_
6	Bilder	Bild	N	NN	_|Acc|_	4	pn	_	_
7	gezeichnet	zeichnen	V	VVPP	_	3	aux	_	_
8	aus	aus	P	APPR	Dat	7	pp	_	_
9	unserer	unsre	A	PPOSAT	Neut|Gen|Pl	10	det	1709	1709
10	Kinder	Kind	N	NN	Neut|Gen|Pl	8	pn	_	_
11	Kinderleben	Kinderleben	N	NN	Neut|Gen|Pl	10	app	_	_
12	,	,	$	$,	_	0	root	_	_
13	heute	heute	A	ADV	_	14	adv	_	_
14	will	wollen	V	VMFIN	1|Sg|Pres|Ind	3	kon	_	_
15	ich	ich	P	PPER	1|Sg|_|Nom	14	subj	1706	1706
16	ein	eine	A	ART	Indef|Neut|_|Sg	19	det	_	_
17	anderes	anderes	A	ADJA	_|Neut|_|Sg|_	19	attr	_	_
18	farbiges	farbig	A	ADJA	Pos|Neut|_|Sg|St|	19	attr	_	_
19	Blatt	Blatt	N	NN	Neut|_|Sg	20	obja	_	_
20	malen	malen	V	VVINF	_	14	aux	_	_
21	,	,	$	$,	_	0	root	_	_
22	wie	wie	P	PWAV	_	0	root	_	_
23	ein	eine	A	ART	Indef|Masc|Nom|Sg	24	det	_	_
24	Zauberspiegel	Zauberspiegel	N	NN	Masc|Nom|Sg	0	root	_	_
25	voll	voll	A	ADJD	Pos|	26	adv	_	_
26	blühenden	blühend	A	ADJA	Pos|Neut|Gen|Sg|_|<PPRES	27	attr	_	_
27	Lebens	Leben	N	NN	Neut|Gen|Sg	24	gmod	_	_
28	,	,	$	$,	_	0	root	_	_
29	voll	voll	A	ADJD	Pos|	31	adv	_	_
30	süßen	süß	A	ADJA	Pos|Neut|Gen|Sg|_|	31	attr	_	_
31	Flüsterns	Flüstern	N	NN	Neut|Gen|Sg	27	kon	_	_
32	,	,	$	$,	_	0	root	_	_
33	voll	voll	A	ADJD	Pos|	35	adv	_	_
34	träumenden	träumend	A	ADJA	Pos|Neut|Gen|Sg|_|<PPRES	35	attr	_	_
35	Sehnens	Sehnen	N	NN	Neut|Gen|Sg	31	kon	_	_
36	und	und	K	KON	_	35	kon	_	_
37	lächelnden	lächelnd	A	ADJA	Pos|Neut|Gen|Sg|_|<PPRES	38	attr	_	_
38	Träumens	Träumen	N	NN	Neut|Gen|Sg	36	cj	_	_
39	-	-	$	$(	_	0	root	_	_
40	ein	eine	A	ART	Indef|Neut|_|Sg	42	det	_	_
41	einziges	einzig	A	ADJA	Pos|Neut|_|Sg|St|	42	attr	_	_
42	Blatt	Blatt	N	NN	Neut|_|Sg	0	root	_	_
43	aus	aus	P	APPR	Dat	42	pp	_	_
44	der	die	A	ART	Def|Fem|Dat|Sg	46	det	_	_
45	vollen	voll	A	ADJA	Pos|Fem|Dat|Sg|Wk|	46	attr	_	_
46	Pracht	Pracht	N	NN	Fem|Dat|Sg	43	pn	_	_
47	des	die	A	ART	Def|Masc|Gen|Sg	48	det	_	_
