37	Lampenschein	Lampenschein	N	NN	Masc|Dat|Sg	35	pn	_	_
38	hinein	hinein	A	APZR	_	35	part	_	_
39	in	in	P	APPR	Acc	0	root	_	_
40	die	die	A	ART	Def|Fem|Acc|Sg	42	det	_	_
41	unzulängliche	unzulänglich	A	ADJA	Pos|Fem|Acc|Sg|_|	42	attr	_	_
42	Beleuchtung	Beleuchtung	N	NN	Fem|Acc|Sg	39	pn	_	_
43	durch	durch	P	APPR	Acc	42	pp	_	_
44	das	die	A	ART	Def|Neut|Acc|Sg	46	det	_	_
45	bleiche	bleich	A	ADJA	Pos|Neut|Acc|Sg|Wk|	46	attr	_	_
46	Himmelslicht	Himmelslicht	N	NN	Neut|Acc|Sg	43	pn	_	_
47	und	und	K	KON	_	0	root	_	_
48	seufzte	seufzen	V	VVFIN	_|Sg|Past|_	47	cj	_	_
49	ihn	er	P	PPER	3|Sg|Masc|Acc	48	obja	462	462
50	an	an	P	PTKVZ	_	48	avz	_	_
51	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Mensch	Mensch	N	NN	_|_|Sg	0	root	1812	1812
3	,	,	$	$,	_	0	root	_	_
4	scheint	scheinen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
5	es	es	P	PPER	3|Sg|Neut|Nom	4	subj	_	_
6	mir	ich	P	PPER	1|Sg|_|Dat	4	objd	1813	1813
7	nur	nur	A	ADV	_	4	adv	_	_
8	so	so	A	ADV	_	4	adv	_	_
9	,	,	$	$,	_	0	root	_	_
10	oder	oder	K	KON	_	4	kon	_	_
11	bin	sein	V	VAFIN	1|Sg|Pres|Ind	10	cj	_	_
12	ich	ich	P	PPER	1|Sg|_|Nom	11	subj	1813	1813
13	in	in	P	APPR	Dat	22	pp	_	_
14	der	die	A	ART	Def|Fem|Dat|Sg	15	det	79	79
15	Tat	Tat	N	NN	Fem|Dat|Sg	13	pn	79	79
16	so	so	A	ADV	_	17	adv	_	_
17	gräßlich	gräßlich	A	ADJD	Pos|	22	adv	_	_
18	aus	aus	P	APPR	Dat	22	pp	_	_
19	dieser	diese	A	PDAT	Fem|Dat|Sg	21	det	_	_
20	abgeschmackten	abgeschmackt	A	ADJA	Pos|Fem|Dat|Sg|Wk|	21	attr	_	_
21	Körperbedeckung	Körperbedeckung	N	NN	Fem|Dat|Sg	18	pn	_	_
22	herausgequollen	herausquellen	V	VVPP	_	11	aux	_	_
23	?	?	$	$.	_	0	root	_	_

1	Hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
2	mich	ich	P	PPER	1|Sg|_|Acc	1	obja	1813	1813
3	euere	eure	A	PPOSAT	Fem|Nom|Sg	5	det	71	71
4	allgemeine	allgemein	A	ADJA	Pos|Fem|Nom|Sg|_|	5	attr	1814	1814
5	Aufregung	Aufregung	N	NN	Fem|Nom|Sg	1	subj	1814	1814
6	und	und	K	KON	_	5	kon	_	_
7	meine	meine	A	PPOSAT	Fem|Nom|Sg	9	det	1813	1813
8	innige	innig	A	ADJA	Pos|Fem|Nom|Sg|_|	9	attr	_	_
9	Teilnahme	Teilnahme	N	NN	Fem|Nom|Sg	6	cj	_	_
