1	Stine	Stine	N	NE	_|Nom|Sg	2	subj	75	75
2	lachte	lachen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ja	ja	P	PTKANT	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	damit	damit	P	PROAV	_	5	pp	_	_
5	wirst	werden	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
6	du	du	P	PPER	2|Sg|_|Nom	5	subj	_	_
7	'	'	$	$(	_	0	root	_	_
8	s	s	V	VVFIN	_	0	root	_	_
9	wohl	wohl	A	ADV	_	10	adv	_	_
10	getroffen	treffen	V	VVPP	_	11	aux	_	_
11	haben	haben	V	VAINF	_	0	root	_	_
12	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	überhaupt	überhaupt	A	ADV	_	1	cj	_	_
3	,	,	$	$,	_	0	root	_	_
4	ich	ich	P	PPER	_|Nom|Sg	0	root	75	75
5	find	find	F	FM	_	4	app	_	_
6	'	'	$	$(	_	0	root	_	_
7	es	es	P	PPER	3|Sg|Neut|_	8	obja	_	_
8	unpassend	unpassend	A	ADJD	Pos|_	0	root	_	_
9	und	und	K	KON	_	8	kon	_	_
10	ungebildet	ungebildet	A	ADJD	Pos|	9	cj	_	_
11	,	,	$	$,	_	0	root	_	_
12	daß	daß	K	KOUS	_	17	konj	_	_
13	er	er	P	PPER	3|Sg|Masc|Nom	17	subj	21	21
14	den	die	A	ART	Def|Masc|_|_	16	det	_	_
15	jungen	jung	A	ADJA	Pos|Masc|_|_|_|	16	attr	_	_
16	Menschen	Mensch	N	NN	Masc|_|_	17	obja	_	_
17	mitbringt	mitbringen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
18	.	.	$	$.	_	0	root	_	_

1	Ein	ein	A	ART	Indef|Masc|Nom|Sg	2	det	103	103
2	Onkel	Onkel	N	NN	Masc|Nom|Sg	3	subj	103	103
