8	hätten	haben	V	VAFIN	3|Pl|Past|Subj	7	cj	_	_
9	sie	sie	P	PPER	3|Pl|_|Nom	8	subj	921	921
10	noch	noch	A	ADV	_	8	adv	_	_
11	,	,	$	$,	_	0	root	_	_
12	denn	denn	K	KON	_	8	kon	_	_
13	fleißige	fleißig	A	ADJA	Pos|Masc|Nom|Pl|St|	14	attr	_	_
14	Tage	Tag	N	NN	Masc|Nom|Pl	15	subj	_	_
15	sind	sein	V	VAFIN	3|Pl|Pres|Ind	12	cj	_	_
16	gute	gut	A	ADJA	Pos|Masc|Nom|Pl|St|	17	attr	_	_
17	Tage	Tag	N	NN	Masc|Nom|Pl	15	pred	_	_
18	,	,	$	$,	_	0	root	_	_
19	wenn	wenn	K	KOUS	_	24	konj	_	_
20	nicht	nicht	P	PTKNEG	_	23	adv	_	_
21	der	die	A	ART	Def|Masc|Nom|Sg	22	det	418	418
22	Streit	Streit	N	NN	Masc|Nom|Sg	24	subj	418	418
23	gekommen	kommen	V	VVPP	_	24	aux	_	_
24	wär	wär	V	VAFIN	_|Sg|_|_	15	neb	_	_
25	,	,	$	$,	_	0	root	_	_
26	der	die	A	ART	Def|Masc|Nom|Sg	27	det	_	_
27	Streit	Streit	N	NN	Masc|Nom|Sg	0	root	_	_
28	um	um	P	APPR	_	27	pp	_	_
29	viel	viel	A	ADV	_	28	adv	_	_
30	und	und	K	KON	_	27	kon	_	_
31	nichts	nichts	P	PIS	Masc|Nom|Sg	30	cj	_	_
32	...	...	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	418	418
2	dacht	dacht	V	VVFIN	3|Sg|_|_	0	root	_	_
3	eben	eben	A	ADV	_	2	adv	_	_
4	,	,	$	$,	_	0	root	_	_
5	er	er	P	PPER	3|Sg|Masc|Nom	6	subj	418	418
6	dürf	dürf	V	VVFIN	3|Sg|_|_	2	kon	_	_
7	es	es	P	PPER	3|Sg|Neut|_	6	obja	_	_
8	dir	du	P	PPER	2|Sg|_|Dat	6	objd	_	_
9	ansinnen	ansinnen	V	VVINF	_	0	root	_	_
10	,	,	$	$,	_	0	root	_	_
11	weil	weil	K	KOUS	_	14	konj	_	_
12	wir	wir	P	PPER	1|Pl|_|Nom	14	subj	919	919
13	arm	arm	A	ADJD	Pos|	14	pred	_	_
14	waren	sein	V	VAFIN	1|Pl|Past|Ind	0	root	_	_
15	und	und	K	KON	_	0	root	_	_
16	er	er	P	PPER	3|Sg|Masc|Nom	15	cj	418	418
17	reich	reich	A	ADJD	Pos|	0	root	_	_
18	und	und	K	KON	_	0	root	_	_
19	eines	eine	A	ART	Indef|_|Gen|Sg	20	det	_	_
20	Ratsherrn	Ratsherrn	N	NN	_|Gen|Sg	18	cj	_	_
21	Sohn	Sohn	N	NN	Masc|_|Sg	20	app	_	_
22	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	da	da	A	ADV	_	3	adv	_	_
3	war	sein	V	VAFIN	_|Sg|Past|Ind	1	cj	_	_
4	es	es	P	PPER	3|Sg|Neut|Nom	3	subj	_	_
5	denn	denn	A	ADV	_	3	adv	_	_
6	freilich	freilich	A	ADV	_	3	adv	_	_
7	aus	aus	P	PTKVZ	_	3	avz	_	_
8	...	...	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	laß	laß	V	VVFIN	_	1	cj	_	_
3	,	,	$	$,	_	0	root	_	_
4	Grete	Grete	N	NE	Fem|_|Sg	2	vok	10	10
5	.	.	$	$.	_	0	root	_	_

1	Was	was	P	PWS	Neut|_|Sg	3	obja	_	_
2	wir	wir	P	PPER	1|Pl|_|Nom	4	subj	919	919
3	gehabt	haben	V	VAPP	_	4	aux	_	_
4	haben	haben	V	VAFIN	1|Pl|Pres|_	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	das	die	P	PDS	Neut|_|Sg	9	obja	_	_
7	haben	haben	V	VAFIN	1|Pl|Pres|_	0	root	_	_
8	wir	wir	P	PPER	1|Pl|_|Nom	7	subj	919	919
9	gehabt	haben	V	VAPP	_	7	aux	_	_
10	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	3	koord	_	_
2	nun	nun	A	ADV	_	3	adv	_	_
3	gib	geben	V	VVIMP	Sg	0	root	_	_
4	mir	ich	P	PPER	1|Sg|_|Dat	3	objd	922	922
5	das	die	A	ART	Def|Neut|_|Sg	6	det	171	171
6	Kind	Kind	N	NN	Neut|_|Sg	3	obja	171	171
7	,	,	$	$,	_	0	root	_	_
8	daß	daß	K	KOUS	_	0	root	_	_
9	ich	ich	P	PPER	1|Sg|_|Nom	0	root	922	922
10	mich	ich	P	PRF	1|Sg|Acc	0	root	_	_
11	seiner	seine	A	PPOSAT	_|_|_	0	root	171	171
12	freue	freuen	V	VVFIN	_|Sg|Pres|_	0	root	_	_
13	.	.	$	$.	_	0	root	_	_
14	«	«	$	$(	_	0	root	_	_

1	Grete	Grete	N	NE	Fem|Nom|Sg	2	subj	10	10
