3	stand	stehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	schon	schon	A	ADV	_	3	adv	_	_
5	die	die	A	ART	Def|Fem|Nom|Sg	6	det	10	10
6	Angst	Angst	N	NN	Fem|Nom|Sg	3	subj	10	10
7	,	,	$	$,	_	0	root	10	10
8	ungeduldig	ungeduldig	A	ADJD	Pos|	10	adv	10	10
9	sie	sie	P	PPER	3|_|_|_	10	obja	10	10
10	anzufassen	anfassen	V	VVIZU	_	6	obji	_	_
11	,	,	$	$,	_	0	root	_	_
12	und	und	K	KON	_	3	kon	_	_
13	hemmte	hemmen	V	VVFIN	_|Sg|Past|_	12	cj	_	_
14	ihr	ihre	A	PPOSAT	_|_|Sg	0	root	10	10
15	so	so	A	ADV	_	16	adv	_	_
16	herrisch	herrisch	A	ADJD	Pos|	18	adv	_	_
17	den	die	A	ART	Def|Masc|Acc|Sg	18	det	_	_
18	Herzschlag	Herzschlag	N	NN	Masc|Acc|Sg	0	root	_	_
19	,	,	$	$,	_	0	root	_	_
20	daß	daß	K	KOUS	_	28	konj	_	_
21	sie	sie	P	PPER	3|Sg|Fem|Nom	28	subj	10	10
22	immer	immer	A	ADV	_	23	adv	_	_
23	schon	schon	A	ADV	_	28	adv	_	_
24	atemlos	atemlos	A	ADJD	Pos|	28	adv	_	_
25	die	die	A	ART	Def|Fem|_|Pl	27	det	_	_
26	wenigen	wenige	A	PIDAT	Fem|_|Pl	27	attr	_	_
27	Stufen	Stufe	N	NN	Fem|_|Pl	28	obja	_	_
28	niederstieg	niedersteigen	V	VVFIN	3|Sg|Past|Ind	18	objc	_	_
29	,	,	$	$,	_	0	root	_	_
30	bis	bis	K	KOUS	_	0	root	_	_
31	sie	sie	P	PPER	3|_|_|_	0	root	10	10
32	die	die	A	ART	Def|Fem|_|Sg	35	det	423	423
33	nervös	nervös	A	ADJD	Pos|	34	adv	423	423
34	zusammengeraffte	zusammengerafft	A	ADJA	Pos|Fem|_|Sg|_|	35	attr	423	423
35	Kraft	Kraft	N	NN	Fem|_|Sg	36	obja	423	423
36	versagen	versagen	V	VVINF	_	0	root	_	_
37	fühlte	fühlen	V	VVFIN	_|Sg|Past|_	0	root	_	_
38	.	.	$	$.	_	0	root	_	_

1	Eine	eine	A	ART	Indef|Fem|_|Sg	2	det	_	_
2	Minute	Minute	N	NN	Fem|_|Sg	3	zeit	_	_
3	stand	stehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	sie	sie	P	PPER	3|Sg|Fem|Nom	3	subj	0	0
5	so	so	A	ADV	_	3	adv	_	_
6	mit	mit	P	APPR	Dat	3	pp	_	_
7	geschlossenen	geschlossen	A	ADJA	Pos|Neut|Dat|Pl|_|	8	attr	_	_
8	Augen	Auge	N	NN	Neut|Dat|Pl	6	pn	_	_
9	und	und	K	KON	_	3	kon	_	_
