19	spielend	spielen	A	ADJD	_|<PPRES	17	cj	_	_
20	,	,	$	$,	_	0	root	_	_
21	und	und	K	KON	_	19	kon	_	_
22	in	in	P	APPR	Dat	21	cj	_	_
23	der	die	A	ART	Def|Fem|Dat|Sg	24	det	939	939
24	Mitte	Mitte	N	NN	Fem|Dat|Sg	22	pn	939	939
25	des	die	A	ART	Def|_|Gen|Sg	26	det	940	940
26	Zuges	Zug	N	NN	_|Gen|Sg	24	gmod	939	939
27	ein	eine	A	ART	Indef|_|_|Sg	52	det	_	_
28	auf	auf	P	APPR	_	30	pp	_	_
29	Rollen	Rolle	N	NN	_|_|_	28	pn	941	941
30	laufender	laufend	A	ADJA	Pos|Masc|Nom|Sg|St|<PPRES	52	attr	_	_
31	und	und	K	KON	_	30	kon	_	_
32	in	in	P	APPR	Dat	31	cj	_	_
33	der	die	A	ART	Def|Fem|Dat|Sg	34	det	_	_
34	Fülle	Fülle	N	NN	Fem|Dat|Sg	32	pn	_	_
35	seiner	seine	A	PPOSAT	Fem|Gen|Sg	36	det	941	941
36	Vergoldung	Vergoldung	N	NN	Fem|Gen|Sg	34	gmod	_	_
37	augenscheinlich	augenscheinlich	A	ADJD	Pos|	41	adv	_	_
38	als	als	K	KOKOM	_	41	kom	_	_
39	Triumphwagen	Triumphwage	N	NN	_|_|_	38	cj	_	_
40	gedachter	gedacht	A	ADJA	Pos|Masc|Gen|Pl|St|	41	attr	_	_
41	Hauptschlitten	Hauptschlitten	N	NN	Masc|Gen|Pl	36	gmod	_	_
42	,	,	$	$,	_	0	root	_	_
43	in	in	P	APPR	Dat	32	kon	_	_
44	dem	die	A	ART	Def|_|Dat|Sg	45	det	115	115
45	Luther	Luther	N	NE	_|Dat|Sg	43	pn	115	115
46	samt	samt	P	APPR	Dat	45	pp	115	115
47	Famulus	Famulus	N	NE	_|Dat|_	46	pn	115	115
48	und	und	K	KON	_	43	kon	_	_
49	auf	auf	P	APPR	Dat	48	cj	_	_
50	der	die	A	ART	Def|Fem|Dat|Sg	51	det	942	942
51	Pritsche	Pritsche	N	NN	Fem|Dat|Sg	49	pn	942	942
52	Katharina	Katharina	N	NN	_|Nom|Sg	55	subj	_	_
53	von	von	P	APPR	_	52	pp	_	_
54	Bora	Bora	N	NE	_|_|_	53	pn	_	_
