3	es	es	P	PPER	3|Sg|Neut|_	1	obja	_	_
4	gleich	gleich	A	ADJD	Pos|	1	pred	_	_
5	unsrer	unsre	A	PPOSAT	Fem|Dat|Sg	6	det	711	711
6	Herzoginwitwe	Herzoginwitwe	N	NN	Fem|Dat|Sg	1	objd	711	711
7	mit	mit	P	APPR	Dat	1	pp	_	_
8	dem	die	A	ART	Def|Masc|Dat|Sg	10	det	644	644
9	sechsjährigen	sechsjährig	A	ADJA	Pos|Masc|Dat|Sg|Wk|	10	attr	644	644
10	Herzog	Herzog	N	NN	Masc|Dat|Sg	7	pn	644	644
11	,	,	$	$,	_	0	root	_	_
12	gehen	gehen	V	VVFIN	1|Pl|Pres|_	0	root	_	_
13	wir	wir	P	PPER	1|Pl|_|Nom	12	subj	803	803
14	nach	nach	P	APPR	Dat	12	pp	_	_
15	Stockholm	Stockholm	N	NE	Neut|Dat|Sg	14	pn	908	908
16	!	!	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	auch	auch	A	ADV	_	8	adv	_	_
4	dort	dort	A	ADV	_	8	adv	_	_
5	für	für	P	APPR	Acc	8	objp	_	_
6	Ihn	er	P	PPER	3|Sg|Masc|Acc	5	pn	10	10
7	zu	zu	P	PTKZU	_	8	part	_	_
8	sorgen	sorgen	V	VVINF	_	9	aux	_	_
9	sein	sein	V	VAINF	_	2	aux	_	_
10	;	;	$	$.	_	0	root	_	_
11	Er	er	P	PPER	3|Sg|Masc|Nom	12	subj	10	10
12	kann	können	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
13	doch	doch	A	ADV	_	18	adv	_	_
14	nicht	nicht	P	PTKNEG	_	18	adv	_	_
15	von	von	P	APPR	Dat	18	objp	_	_
16	meinem	meine	A	PPOSAT	Masc|Dat|Sg	17	det	738	738
17	Buben	Bub	N	NN	Masc|Dat|Sg	15	pn	_	_
18	lassen	lassen	V	VVINF	_	12	aux	_	_
19	!	!	$	$.	_	0	root	_	_
20	«	«	$	$(	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	da	da	K	KOUS	_	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	0	root	738	738
4	über	über	P	APPR	Acc	7	pp	_	_
5	solche	solche	A	PIDAT	Fem|Acc|Sg	6	det	_	_
6	Rede	Rede	N	NN	Fem|Acc|Sg	4	pn	_	_
7	erstaunet	erstaunen	V	VVFIN	2|Pl|Pres|Subj	0	root	_	_
8	und	und	K	KON	_	7	kon	_	_
9	auch	auch	A	ADV	_	14	adv	_	_
10	das	die	A	ART	Def|Neut|_|Sg	11	det	_	_
11	letztere	letztere	A	ADJA	Neut|_|Sg	14	subj	_	_
12	die	die	A	ART	Def|Fem|Nom|Sg	13	det	1041	1041
13	Wahrheit	Wahrheit	N	NN	Fem|Nom|Sg	14	pred	1041	1041
14	war	sein	V	VAFIN	3|Sg|Past|Ind	8	cj	_	_
15	,	,	$	$,	_	0	root	_	_
16	so	so	A	ADV	_	17	adv	_	_
17	hatte	haben	V	VAFIN	1|Sg|Past|Ind	0	root	_	_
18	ich	ich	P	PPER	1|Sg|_|Nom	17	subj	738	738
19	nicht	nicht	P	PTKNEG	_	17	adv	_	_
20	allsogleich	allsogleich	A	ADV	_	17	adv	_	_
21	die	die	A	ART	Def|Fem|_|Sg	22	det	804	804
22	Antwort	Antwort	N	NN	Fem|_|Sg	17	obja	804	804
23	.	.	$	$.	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	klopfte	klopfen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
4	;	;	$	$.	_	0	root	_	_
5	und	und	K	KON	_	0	root	_	_
6	auf	auf	P	APPR	_	0	root	_	_
7	ein	eine	A	ART	Indef|_|_|Sg	0	root	_	_
8	heftiges	heftig	A	ADJA	Pos|Neut|_|Sg|St|	0	root	_	_
9	«	«	$	$(	_	0	root	_	_
10	Herein	Herein	F	FM	_	0	root	_	_
11	«	«	$	$(	_	0	root	_	_
12	des	die	A	ART	Def|_|Gen|Sg	13	det	788	788
13	Obersten	Oberst	N	NN	_|Gen|Sg	0	root	788	788
14	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
15	der	die	A	ART	Def|Masc|Nom|Sg	16	det	738	738
16	Wildmeister	Wildmeister	N	NN	Masc|Nom|Sg	14	subj	738	738
17	in	in	P	APPR	Acc	20	objp	_	_
18	das	die	A	ART	Def|Neut|Acc|Sg	19	det	656	656
19	Zimmer	Zimmer	N	NN	Neut|Acc|Sg	17	pn	656	656
20	getreten	treten	V	VVPP	_	14	aux	_	_
21	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	jener	jene	P	PDS	Masc|Nom|Sg	3	subj	_	_
3	beachtete	beachten	V	VVFIN	3|Sg|Past|_	1	cj	_	_
4	ihn	er	P	PPER	3|Sg|Masc|Acc	3	obja	738	738
5	nicht	nicht	P	PTKNEG	_	3	adv	_	_
6	:	\:	$	$.	_	0	root	_	_
7	»	»	$	$(	_	0	root	_	_
8	Es	es	P	PPER	3|Sg|Neut|Nom	9	subj	_	_
9	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
10	hier	hier	A	ADV	_	13	adv	_	_
11	nimmermehr	nimmermehr	A	ADV	_	13	adv	_	_
12	zu	zu	P	PTKZU	_	13	part	_	_
13	hausen	hausen	V	VVINF	_	9	aux	_	_
14	«	«	$	$(	_	0	root	_	_
15	,	,	$	$,	_	0	root	_	_
16	sprach	sprechen	V	VVFIN	3|Sg|Past|Ind	13	s	_	_
17	er	er	P	PPER	3|Sg|Masc|Nom	16	subj	738	738
18	weiter	weiter	A	ADV	_	16	adv	_	_
19	;	;	$	$.	_	0	root	_	_
20	»	»	$	$(	_	0	root	_	_
21	die	die	A	ART	Def|Fem|Nom|Sg	23	det	_	_
22	vormundschaftliche	vormundschaftlich	A	ADJA	Pos|Fem|Nom|Sg|_|	23	attr	_	_
23	Regierung	Regierung	N	NN	Fem|Nom|Sg	24	subj	_	_
24	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
25	der	die	A	ART	Def|Masc|Nom|Sg	26	det	805	805
26	Görtz	Görtz	N	NN	Masc|Nom|Sg	24	pred	805	805
27	,	,	$	$,	_	0	root	805	805
28	der	die	P	PRELS	Masc|Nom|Sg	29	subj	805	805
29	steckt	stecken	V	VVFIN	3|Sg|Pres|Ind	26	rel	_	_
30	die	die	A	ART	Def|Fem|_|Sg	31	det	_	_
31	Hälfte	Hälfte	N	NN	Fem|_|Sg	29	obja	_	_
32	in	in	P	APPR	Acc	29	objp	_	_
33	die	die	A	ART	Def|Fem|Acc|Sg	35	det	_	_
34	eigne	eigne	A	ADJA	_|Fem|Acc|Sg|_	35	attr	_	_
35	Tasche	Tasche	N	NN	Fem|Acc|Sg	32	pn	_	_
36	und	und	K	KON	_	29	kon	_	_
37	hat	haben	V	VAFIN	3|Sg|Pres|Ind	36	cj	_	_
38	doch	doch	A	ADV	_	37	adv	_	_
39	nie	nie	A	ADV	_	37	adv	_	_
40	genug	genug	A	ADV	_	26	adv	_	_
41	;	;	$	$.	_	0	root	_	_
42	und	und	K	KON	_	0	root	_	_
43	dabei	dabei	P	PROAV	_	45	pp	_	_
44	kein	keine	A	PIAT	_|_|Sg	45	det	_	_
45	Landtag	Landtag	N	NN	_|_|Sg	42	cj	_	_
46	und	und	K	KON	_	45	kon	_	_
