12	der	die	A	ART	Def|Fem|Gen|Sg	13	det	215	215
13	Base	Base	N	NN	Fem|Gen|Sg	11	gmod	215	215
14	;	;	$	$.	_	0	root	_	_
15	aus	aus	P	APPR	Dat	19	pp	_	_
16	dem	die	A	ART	Def|Neut|Dat|Sg	18	det	_	_
17	großen	groß	A	ADJA	Pos|Neut|Dat|Sg|Wk|	18	attr	_	_
18	Himmelbette	Himmelbett	N	NN	Neut|Dat|Sg	15	pn	_	_
19	scholl	schallen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
20	das	die	A	ART	Def|Neut|Nom|Sg	22	det	_	_
21	gleichmäßige	gleichmäßig	A	ADJA	Pos|Neut|Nom|Sg|Wk|	22	attr	_	_
22	Atmen	Atmen	N	NN	Neut|Nom|Sg	19	subj	_	_
23	einer	eine	A	ART	Indef|Fem|Gen|Sg	25	det	_	_
24	ruhig	ruhig	A	ADJD	Pos|	25	adv	_	_
25	Schlafenden	Schlafende	N	NN	Fem|Gen|Sg	22	gmod	_	_
26	;	;	$	$.	_	0	root	_	_
27	von	von	P	APPR	Dat	31	pp	_	_
28	dem	die	A	ART	Def|Neut|Dat|Sg	30	det	_	_
29	jungfräulichen	jungfräulich	A	ADJA	Pos|Neut|Dat|Sg|Wk|	30	attr	_	_
30	Lager	Lager	N	NN	Neut|Dat|Sg	27	pn	_	_
31	hob	heben	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
32	sich	sie	P	PRF	3|_|_	31	obja	_	_
33	in	in	P	APPR	Dat	31	pp	_	_
34	dem	die	A	ART	Def|Neut|Dat|Sg	36	det	_	_
35	zweifelhaften	zweifelhaft	A	ADJA	Pos|Neut|Dat|Sg|Wk|	36	attr	_	_
36	Mondlicht	Mondlicht	N	NN	Neut|Dat|Sg	33	pn	_	_
37	noch	noch	A	ADV	_	31	adv	_	_
38	ein	eine	A	ART	Indef|Neut|Nom|Sg	40	det	_	_
39	blasses	blass	A	ADJA	Pos|Neut|Nom|Sg|St|	40	attr	_	_
40	Köpfchen	Köpfchen	N	NN	Neut|Nom|Sg	31	subj	_	_
41	,	,	$	$,	_	0	root	_	_
42	das	die	A	ART	Def|Neut|Nom|Sg	44	det	474	474
43	schwarze	schwarz	A	ADJA	Pos|Neut|Nom|Sg|Wk|	44	attr	474	474
44	Haar	Haar	N	NN	Neut|Nom|Sg	49	subj	474	474
45	in	in	P	APPR	Acc	49	objp	_	_
46	ein	eine	A	ART	Indef|Neut|Acc|Sg	48	det	_	_
47	weißes	weiß	A	ADJA	Pos|Neut|Acc|Sg|St|	48	attr	_	_
48	Seidennetz	Seidennetz	N	NN	Neut|Acc|Sg	45	pn	_	_
49	gehüllt	hüllen	V	VVPP	_	31	neb	_	_
50	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	O	O	N	NN	Fem|_|Sg	0	root	_	_
3	Mutter	Mutter	N	NN	Fem|_|Sg	2	app	_	_
4	der	die	A	ART	Def|Fem|Gen|Pl	5	det	_	_
5	Gnaden	Gnade	N	NN	Fem|Gen|Pl	3	gmod	_	_
6	«	«	$	$(	_	0	root	_	_
7	,	,	$	$,	_	0	root	_	_
8	flüsterte	flüstern	V	VVFIN	3|Sg|Past|_	5	par	_	_
9	das	die	A	ART	Def|Neut|Nom|Sg	10	det	259	259
10	Kind	Kind	N	NN	Neut|Nom|Sg	8	subj	259	259
11	,	,	$	$,	_	0	root	_	_
12	»	»	$	$(	_	0	root	_	_
13	ich	ich	P	PPER	1|Sg|_|Nom	14	subj	473	473
14	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	_
15	sie	sie	P	PPER	3|_|_|_	17	obja	259	259
16	beide	beide	P	PIS	_|_|Pl	15	app	_	_
17	belogen	belügen	V	VVPP	_	14	aux	_	_
18	,	,	$	$,	_	0	root	_	_
19	Heudan	Heudan	N	NN	Masc|Acc|_	14	vok	_	_
20	erst	erst	A	ADV	_	19	adv	_	_
21	,	,	$	$,	_	0	root	_	_
22	den	die	A	ART	Def|Masc|Acc|Sg	23	det	_	_
23	Hund	Hund	N	NN	Masc|Acc|Sg	19	app	_	_
24	,	,	$	$,	_	0	root	_	_
25	und	und	K	KON	_	19	kon	_	_
26	dann	dann	A	ADV	_	29	adv	_	_
27	die	die	A	ART	Def|Fem|Acc|Sg	29	det	_	_
28	gute	gut	A	ADJA	Pos|Fem|Acc|Sg|_|	29	attr	_	_
29	Base	Base	N	NN	Fem|Acc|Sg	25	cj	_	_
30	!	!	$	$.	_	0	root	_	_

1	Ach	ach	I	ITJ	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	Heilige	Heilige	N	NN	_|_|_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	aber	aber	K	KON	_	0	root	_	_
6	wenn	wenn	K	KOUS	_	11	konj	_	_
7	man	man	P	PIS	_|Nom|Sg	11	subj	_	_
8	erst	erst	A	ADV	_	11	adv	_	_
9	so	so	A	ADV	_	10	adv	_	_
10	alt	alt	A	ADJD	Pos|	11	pred	_	_
11	ist	sein	V	VAFIN	3|Sg|Pres|Ind	5	cj	_	_
12	!	!	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|_|_|_	0	root	474	474
2	verständen	verstehen	V	VVFIN	3|Pl|Past|Subj	0	root	_	_
3	das	die	P	PDS	Neut|_|Sg	2	obja	_	_
4	doch	doch	A	ADV	_	2	adv	_	_
5	beide	beide	P	PIS	_|Nom|Pl	2	subj	_	_
6	nicht	nicht	P	PTKNEG	_	2	adv	_	_
7	!	!	$	$.	_	0	root	_	_
8	«	«	$	$(	_	0	root	_	_
9	Dann	dann	A	ADV	_	10	adv	_	_
10	legte	legen	V	VVFIN	3|Sg|Past|_	0	root	_	_
11	sie	sie	P	PPER	3|Sg|Fem|Nom	10	subj	163	163
12	die	die	A	ART	Def|Fem|_|Pl	13	det	147	147
13	Hände	Hand	N	NN	Fem|_|Pl	10	obja	147	147
14	über	über	P	APPR	Acc	10	objp	_	_
15	die	die	A	ART	Def|Fem|Acc|Sg	17	det	_	_
16	junge	jung	A	ADJA	Pos|Fem|Acc|Sg|_|	17	attr	_	_
17	Brust	Brust	N	NN	Fem|Acc|Sg	14	pn	_	_
18	,	,	$	$,	_	0	root	_	_
19	und	und	K	KON	_	10	kon	_	_
