25	befand	befinden	V	VVFIN	3|Sg|Past|Ind	19	rel	_	_
26	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|_|Sg	2	det	118	118
2	Angst	Angst	N	NN	Fem|_|Sg	0	root	118	118
3	,	,	$	$,	_	0	root	_	_
4	welche	welche	P	PRELS	_|_|_	0	root	118	118
5	so	so	A	ADV	_	6	adv	_	_
6	deutlich	deutlich	A	ADJD	Pos|	0	root	_	_
7	,	,	$	$,	_	0	root	_	_
8	wie	wie	P	PWAV	_	17	adv	_	_
9	mit	mit	P	APPR	Dat	17	pp	_	_
10	Buchstaben	Buchstabe	N	NN	_|Dat|_	9	pn	119	119
11	geschrieben	schreiben	V	VVPP	_	18	neb	_	_
12	,	,	$	$,	_	0	root	_	_
13	in	in	P	APPR	Dat	11	pp	_	_
14	seinen	seine	A	PPOSAT	Masc|Dat|Pl	15	det	119	119
15	Zügen	Zug	N	NN	Masc|Dat|Pl	13	pn	_	_
16	zu	zu	P	PTKZU	_	17	part	_	_
17	lesen	lesen	V	VVINF	_	18	aux	_	_
18	war	sein	V	VAFIN	_|Sg|Past|Ind	20	objc	_	_
19	,	,	$	$,	_	0	root	_	_
20	entsprach	entsprechen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
21	sehr	sehr	A	ADV	_	22	adv	_	_
22	wenig	wenig	P	PIS	_|Nom|Sg	20	subj	_	_
23	der	die	A	ART	Def|Fem|Dat|Sg	24	det	120	120
24	Aufgabe	Aufgabe	N	NN	Fem|Dat|Sg	20	objd	120	120
25	,	,	$	$,	_	0	root	120	120
26	mit	mit	P	APPR	Dat	34	pp	120	120
27	welcher	welche	P	PRELS	Fem|Dat|Sg	26	pn	120	120
28	ihn	er	P	PPER	3|Sg|Masc|Acc	34	obja	115	115
29	seine	seine	A	PPOSAT	_|Nom|Sg	30	det	119	119
30	Sennora	Sennora	N	NN	_|Nom|Sg	35	subj	1206	1206
31	in	in	P	APPR	Acc	34	pp	_	_
32	die	die	A	ART	Def|Masc|Acc|Pl	33	det	227	227
33	Berge	Berg	N	NN	Masc|Acc|Pl	31	pn	227	227
34	geschickt	schicken	V	VVPP	_	35	aux	_	_
35	hatte	haben	V	VAFIN	3|Sg|Past|Ind	24	rel	_	_
36	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	1206	1206
2	glaubte	glauben	V	VVFIN	1|Sg|Past|_	0	root	_	_
3	sogar	sogar	A	ADV	_	2	adv	_	_
4	,	,	$	$,	_	0	root	_	_
5	Schweißtropfen	Schweißtropfen	N	NN	_|_|_	10	obja	121	121
6	auf	auf	P	APPR	Dat	10	pp	_	_
7	seiner	seine	A	PPOSAT	Fem|Dat|Sg	8	det	121	121
8	Stirn	Stirn	N	NN	Fem|Dat|Sg	6	pn	788	788
9	zu	zu	P	PTKZU	_	10	part	_	_
10	bemerken	bemerken	V	VVINF	_	2	obji	_	_
11	.	.	$	$.	_	0	root	_	_

1	Seine	seine	A	PPOSAT	_|Nom|Pl	2	det	121	121
2	Untergebenen	Untergebene	N	NN	_|Nom|Pl	7	subj	124	124
3	,	,	$	$,	_	0	root	124	124
4	die	die	A	ART	Def|Masc|Nom|Pl	5	det	124	124
5	Polizisten	Polizist	N	NN	Masc|Nom|Pl	2	app	124	124
6	,	,	$	$,	_	0	root	_	_
7	befanden	befinden	V	VVFIN	3|Pl|Past|Ind	0	root	_	_
8	sich	sie	P	PRF	3|_|_	7	obja	_	_
9	in	in	P	APPR	Dat	7	objp	_	_
10	derselben	dieselbe	A	PDAT	Fem|Dat|Sg	11	det	_	_
11	Stimmung	Stimmung	N	NN	Fem|Dat|Sg	9	pn	_	_
12	wie	wie	K	KOKOM	_	7	kom	_	_
13	er	er	P	PPER	3|Sg|Masc|Nom	12	cj	121	121
14	,	,	$	$,	_	0	root	_	_
15	und	und	K	KON	_	7	kon	_	_
16	der	die	A	ART	Def|Masc|Nom|Sg	17	det	122	122
17	Haziendero	Haziendero	N	NN	Masc|Nom|Sg	18	subj	122	122
18	machte	machen	V	VVFIN	3|Sg|Past|_	15	cj	_	_
19	auch	auch	A	ADV	_	18	adv	_	_
20	nicht	nicht	P	PTKNEG	_	18	adv	_	_
21	den	die	A	ART	Def|Masc|Acc|Sg	22	det	_	_
